concept_id,concept,lexicalization,frequency,aoa
1159,fart,0.851152,121.28827,5.78
1161,thread,0.97819,147.98083,6.61
1162,intention,0.729298,129.70410999999999,8.37
1169,ox,0.734976,262.88125,4.72
1171,mirror,0.939118,126.62501,4.89
1172,shoot,0.95251,307.64637,5.53
1174,yesterday,0.991433,219.64469,4.580539
1175,ghost,0.862896,108.69254,5.06
1176,spade,0.724508,106.78749,8.11
1185,vulture,0.778943,123.37566,8.89
1188,charcoal,0.947805,128.00878,8
1201,feather,0.98592900000000006,204.88988,4.67
1202,big,0.995953,1793.3455,2.89
1207,young,0.950332,793.87834,4.61
1210,heavy,0.994,172.15264,4.05
1216,mother,0.92276,2190.31732,2.63
1217,father,0.986984,2342.12614,4.11
1218,rope,0.981524,314.43227,5.44
1219,worm,0.943511,168.11678,3.89
1222,penis,0.954823,107.4375,8.53
1224,liver,0.987133,127.15125,8.56
1226,year,0.968362,1307.62396,5.24
1227,board,0.882109,128.26386,7.84
1228,earth,0.969954,1164.31767,4.89
1229,old,0.989419,2355.04423,3.72
1231,new,0.988985,359.44126,4.72
1232,warm,0.923513,164.00231,4.65
1234,smooth,0.955641,124.08493,5.61
1235,who,0.963098,3509.43645,3.813235
1241,some,0.900349,2028.41856,4.846964
1243,wide,0.972951,132.11139,5.84
1244,thick,0.987864,130.56805,5.61
1245,butter,0.554344,124.94195,5.78
1246,small,0.995953,1309.54564,3.22
1247,ear,0.988289,290.66981,3.63
1257,wing,0.989965,147.98212,4.79
1261,sing,0.987536,349.41001,3.47
1262,brother,0.834258,1667.1301,3.63
1263,sister,0.817176,763.10009,3.68
1264,change,0.961679,239.02651,4.26
1265,high,0.992985,510.09704,4.58
1267,narrow,0.989205,107.24591,7.57
1269,no,0.977153,4217.49315,2.715564
1270,why,0.958396,1508.43676,3.97309
1272,aunt,0.76985,219.76916,3.8
1273,candle,0.869262,161.13287,5.37
1274,salt,0.994987,227.41108,5.05
1275,answer,0.975182,257.371,5.43
1276,autumn,0.630691,99.29355,6
1280,fall,0.986259,547.13269,4.71
1281,prison,0.839857,200.96005,5.74
1283,today,0.995356,1017.54947,4.772365
1287,cold,0.988985,237.99456,3.95
1289,baby,0.990499,329.59705,3.84
1290,elephant,0.581304,175.17762,4.8
1293,mistake,0.861718,143.24311,5.78
1297,leg,0.982157,635.79036,3
1300,country,0.902274,317.20167,6.39
1302,fork,0.716174,102.81193,3.63
1303,finger,0.996179,186.42756,3.43
1305,chimney,0.607811,94.86645,6.58
1306,queen,0.608839,96.4547,4.42
1307,language,0.972231,1065.15085,6.79
1308,doubt,0.764311,92.52182,8.79
1309,ask,0.998875,585.64953,2.89
1310,clever,0.889955,125.56115,7.5
1312,fox,0.799267,285.4083,5.017476
1313,moon,0.989965,219.2928,4.83
1316,tent,0.674887,228.41558,5.16
1318,chicken,0.959845,322.7467,3.26
1322,breakfast,0.687993,110.61804,3.47
1323,clock,0.809932,98.32331,4.42
1324,slip,0.947028,104.48801,6.17
1325,friend,0.973546,829.63096,3.57
1327,uncle,0.762886,488.00027,4.47
1329,tomorrow,0.992985,424.21034,5.187988
1331,sheep,0.854118,332.43793,4.25
1332,neighbour,0.885818,209.80652,5.06
