glottocode,word,sum_count,same_meaning,glottolog_langname
lati1261,river,11362,FALSE,Latin
stan1290,rapport,11340,FALSE,French
lati1261,jam,11258,FALSE,Latin
stan1290,crime,11251,TRUE,French
stan1288,mayor,11239,FALSE,Spanish
lati1261,state,11236,TRUE,Latin
stan1290,strike,11175,FALSE,French
ital1282,chi,11174,TRUE,Italian
stan1288,round,11157,TRUE,Spanish
stan1288,game,11146,TRUE,Spanish
stan1290,cover,11141,TRUE,French
stan1290,courage,11101,TRUE,French
stan1295,net,11084,FALSE,German
stan1290,math,11034,FALSE,French
stan1295,fair,10985,TRUE,German
stan1288,body,10980,FALSE,Spanish
mand1415,hit,10977,FALSE,Mandarin Chinese
stan1288,son,10954,TRUE,Spanish
stan1288,metal,10948,TRUE,Spanish
stan1295,fest,10947,FALSE,German
hung1274,van,10937,FALSE,Hungarian
stan1288,line,10936,FALSE,Spanish
wels1247,man,10918,FALSE,Welsh
stan1288,den,10883,FALSE,Spanish
stan1290,cap,10833,TRUE,French
mand1415,call,10823,TRUE,Mandarin Chinese
stan1290,article,10744,TRUE,French
stan1288,land,10721,FALSE,Spanish
stan1290,party,10680,TRUE,French
stan1290,chef,10675,TRUE,French
stan1290,sang,10650,FALSE,French
stan1290,catch,10641,FALSE,French
stan1290,rot,10617,FALSE,French
stan1290,care,10613,FALSE,French
dani1285,med,10558,FALSE,Danish
dutc1256,make,10546,TRUE,Dutch
stan1288,cover,10511,TRUE,Spanish
mand1415,dead,10495,FALSE,Mandarin Chinese
mand1415,send,10487,TRUE,Mandarin Chinese
viet1252,chi,10479,FALSE,Vietnamese
ital1282,tempo,10467,FALSE,Italian
stan1295,start,10455,TRUE,German
viet1252,may,10453,FALSE,Vietnamese
scot1243,like,10441,TRUE,Scots
lati1261,trans,10430,FALSE,Latin
stan1295,enter,10422,FALSE,German
lati1261,genus,10418,FALSE,Latin
lati1261,late,10380,FALSE,Latin
stan1290,sale,10380,FALSE,French
stan1290,chair,10373,FALSE,French
stan1288,hard,10349,TRUE,Spanish
