id,glottocode,langname,langfamily,area,population,subsistence,latitude,longitude,avgmonth_tmp,minmonth_tmp,maxmonth_pre,maxmonth_wnd,logpop
uc1.b3627928,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.b000495538,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.l0088526488,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.31822027355072,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
chi.086572849,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
osu.32435003898723,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uva.x001842595,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc2.ark:/13960/t9q245j64,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.31822036715860,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.31822018739318,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.32106010005764,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
mdp.39015014389509,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.c049767693,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
hvd.hy6727,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uiug.30112041186302,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
mdp.39015065685284,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.31822006637995,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uva.x004877953,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.31822033776071,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uc1.31822031310881,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
